city,size,province
合肥,6.3,安徽省
芜湖,3.6,安徽省
安庆,4.7,安徽省
蚌埠,1.8,安徽省
亳州,3.3,安徽省
池州,1.9,安徽省
滁州,4.1,安徽省
阜阳,4.6,安徽省
黄山,2.8,安徽省
淮北,1.2,安徽省
淮南,1.3,安徽省
六安,5.2,安徽省
马鞍山,2.1,安徽省
宿州,3.2,安徽省
铜陵,0.7,安徽省
宣城,3.2,安徽省
福州,6.0,福建省
厦门,3.7,福建省
泉州,6.7,福建省
龙岩,3.9,福建省
宁德,3.9,福建省
南平,4.5,福建省
莆田,1.9,福建省
三明,4.4,福建省
漳州,4.0,福建省
兰州,3.5,甘肃省
白银,2.0,甘肃省
定西,3.6,甘肃省
金昌,0.6,甘肃省
酒泉,3.0,甘肃省
平凉,3.5,甘肃省
庆阳,4.1,甘肃省
武威,1.9,甘肃省
天水,3.2,甘肃省
张掖,2.0,甘肃省
甘南藏族自治州,2.5,甘肃省
嘉峪关,0.3,甘肃省
临夏回族自治州,1.7,甘肃省
陇南,3.6,甘肃省
广州,12.8,广东省
深圳,9.2,广东省
珠海,2.9,广东省
东莞,9.5,广东省
佛山,9.6,广东省
惠州,5.7,广东省
江门,4.4,广东省
中山,3.7,广东省
汕头,2.8,广东省
湛江,4.6,广东省
潮州,1.6,广东省
河源,3.7,广东省
揭阳,2.4,广东省
茂名,4.3,广东省
梅州,4.4,广东省
清远,4.5,广东省
韶关,4.5,广东省
汕尾,1.6,广东省
阳江,2.3,广东省
云浮,2.4,广东省
肇庆,3.8,广东省
南宁,7.1,广西
北海,1.5,广西
防城港,1.2,广西
桂林,6.0,广西
柳州,3.4,广西
崇左,2.4,广西
来宾,3.2,广西
梧州,2.8,广西
河池,5.7,广西
玉林,3.7,广西
贵港,2.5,广西
贺州,2.1,广西
钦州,2.6,广西
百色,5.8,广西
贵阳,4.3,贵州省
安顺,2.5,贵州省
遵义,7.5,贵州省
六盘水,2.7,贵州省
毕节地区,8.3,贵州省
黔东南苗族侗族自治州,5.3,贵州省
黔西南布依族苗族自治州,3.4,贵州省
黔南布依族苗族自治州,5.0,贵州省
铜仁地区,4.7,贵州省
海口,2.5,海南省
三亚,1.6,海南省
白沙黎族自治县,0.3,海南省
保亭黎族苗族自治县,0.3,海南省
昌江黎族自治县,0.2,海南省
澄迈县,0.7,海南省
定安县,0.5,海南省
东方,0.3,海南省
乐东黎族自治县,0.5,海南省
临高县,0.4,海南省
陵水黎族自治县,0.5,海南省
琼海,0.7,海南省
琼中黎族苗族自治县,0.6,海南省
屯昌县,0.4,海南省
万宁,0.8,海南省
文昌,0.9,海南省
五指山,0.2,海南省
儋州,0.8,海南省
石家庄,8.2,河北省
保定,9.3,河北省
承德,7.0,河北省
邯郸,5.4,河北省
唐山,7.6,河北省
秦皇岛,3.7,河北省
沧州,5.8,河北省
衡水,3.9,河北省
廊坊,4.1,河北省
邢台,5.0,河北省
张家口,6.6,河北省
郑州,8.3,河南省
洛阳,6.2,河南省
开封,3.0,河南省
许昌,2.7,河南省
安阳,4.0,河南省
平顶山,3.6,河南省
鹤壁,1.0,河南省
焦作,2.1,河南省
济源,1.0,河南省
漯河,1.3,河南省
南阳,6.5,河南省
濮阳,2.2,河南省
三门峡,2.7,河南省
商丘,3.6,河南省
新乡,3.6,河南省
信阳,8.4,河南省
驻马店,4.7,河南省
周口,5.1,河南省
哈尔滨,12.0,黑龙江
大庆,3.3,黑龙江
齐齐哈尔,7.5,黑龙江
佳木斯,3.5,黑龙江
大兴安岭地区,3.1,黑龙江
黑河,5.2,黑龙江
鹤岗,1.3,黑龙江
鸡西,1.9,黑龙江
牡丹江,3.1,黑龙江
七台河,0.9,黑龙江
绥化,5.7,黑龙江
双鸭山,1.8,黑龙江
伊春,1.8,黑龙江
武汉,10.1,湖北省
襄阳,6.8,湖北省
十堰,5.7,湖北省
黄石,1.8,湖北省
鄂州,1.0,湖北省
恩施土家族苗族自治州,6.2,湖北省
黄冈,7.7,湖北省
荆州,4.6,湖北省
荆门,3.8,湖北省
随州,3.4,湖北省
宜昌,4.7,湖北省
天门,0.9,湖北省
潜江,0.6,湖北省
仙桃,0.9,湖北省
孝感,3.6,湖北省
咸宁,3.4,湖北省
神农架林区,0.3,湖北省
长沙,10.0,湖南省
岳阳,5.8,湖南省
湘潭,2.6,湖南省
常德,4.3,湖南省
郴州,4.0,湖南省
衡阳,6.7,湖南省
怀化,6.6,湖南省
娄底,3.4,湖南省
邵阳,6.8,湖南省
益阳,3.5,湖南省
永州,5.7,湖南省
株洲,4.6,湖南省
张家界,2.1,湖南省
湘西土家族苗族自治州,2.8,湖南省
长春,10.5,吉林省
吉林,5.2,吉林省
延边朝鲜族自治州,3.8,吉林省
白城,3.6,吉林省
白山,2.4,吉林省
辽源,1.8,吉林省
四平,4.2,吉林省
松原,4.0,吉林省
通化,3.2,吉林省
南京,10.9,江苏省
苏州,13.3,江苏省
常州,6.5,江苏省
连云港,3.6,江苏省
泰州,3.7,江苏省
无锡,7.9,江苏省
徐州,6.2,江苏省
扬州,4.5,江苏省
镇江,3.5,江苏省
淮安,3.8,江苏省
南通,6.8,江苏省
宿迁,3.2,江苏省
盐城,5.8,江苏省
南昌,4.5,江西省
赣州,8.6,江西省
九江,6.0,江西省
景德镇,1.6,江西省
吉安,6.0,江西省
萍乡,1.6,江西省
上饶,6.6,江西省
新余,1.2,江西省
宜春,6.9,江西省
鹰潭,1.1,江西省
抚州,4.2,江西省
沈阳,11.0,辽宁省
大连,10.1,辽宁省
鞍山,3.5,辽宁省
丹东,3.1,辽宁省
抚顺,2.6,辽宁省
锦州,3.1,辽宁省
营口,2.0,辽宁省
本溪,3.0,辽宁省
朝阳,4.4,辽宁省
阜新,2.3,辽宁省
葫芦岛,3.2,辽宁省
辽阳,2.7,辽宁省
盘锦,1.5,辽宁省
铁岭,3.8,辽宁省
呼和浩特,3.7,内蒙古
包头,3.7,内蒙古
赤峰,8.9,内蒙古
鄂尔多斯,5.4,内蒙古
乌兰察布,5.4,内蒙古
乌海,0.6,内蒙古
兴安盟,4.8,内蒙古
呼伦贝尔,10.1,内蒙古
通辽,4.2,内蒙古
阿拉善盟,2.3,内蒙古
巴彦淖尔,4.1,内蒙古
锡林郭勒盟,4.6,内蒙古
银川,2.6,宁夏
石嘴山,1.0,宁夏
固原,1.9,宁夏
吴忠,2.5,宁夏
中卫,1.7,宁夏
西宁,2.1,青海省
黄南藏族自治州,0.8,青海省
玉树藏族自治州,4.4,青海省
果洛藏族自治州,2.3,青海省
海东地区,1.7,青海省
海西蒙古族藏族自治州,3.7,青海省
海南藏族自治州,1.6,青海省
海北藏族自治州,1.6,青海省
济南,6.9,山东省
青岛,9.8,山东省
威海,3.4,山东省
烟台,9.3,山东省
潍坊,7.7,山东省
泰安,3.9,山东省
滨州,4.3,山东省
德州,5.1,山东省
东营,2.5,山东省
菏泽,4.4,山东省
济宁,5.3,山东省
聊城,3.9,山东省
临沂,7.2,山东省
莱芜,1.1,山东省
日照,2.4,山东省
淄博,3.8,山东省
枣庄,4.1,山东省
太原,4.2,山西省
长治,3.0,山西省
大同,3.1,山西省
晋城,2.5,山西省
晋中,4.5,山西省
临汾,3.9,山西省
吕梁,3.5,山西省
朔州,1.7,山西省
忻州,4.0,山西省
运城,3.5,山西省
阳泉,1.1,山西省
西安,8.7,陕西省
安康,4.5,陕西省
宝鸡,3.3,陕西省
汉中,4.3,陕西省
商洛,4.0,陕西省
铜川,1.2,陕西省
渭南,3.2,陕西省
咸阳,3.0,陕西省
延安,6.7,陕西省
榆林,9.7,陕西省
成都,15.4,四川省
绵阳,4.9,四川省
资阳,3.8,四川省
巴中,2.8,四川省
德阳,3.0,四川省
达州,4.0,四川省
广安,2.5,四川省
广元,3.7,四川省
乐山,3.6,四川省
泸州,3.5,四川省
眉山,3.9,四川省
内江,3.2,四川省
南充,4.0,四川省
攀枝花,1.2,四川省
遂宁,2.0,四川省
宜宾,3.6,四川省
雅安,1.8,四川省
自贡,2.4,四川省
阿坝藏族羌族自治州,3.8,四川省
甘孜藏族自治州,4.2,四川省
凉山彝族自治州,5.0,四川省
拉萨,2.6,西藏
日喀则地区,6.4,西藏
阿里地区,4.1,西藏
昌都地区,4.8,西藏
林芝地区,2.5,西藏
那曲地区,7.3,西藏
山南地区,2.6,西藏
乌鲁木齐,3.3,新疆
石河子,0.2,新疆
吐鲁番地区,1.5,新疆
伊犁哈萨克自治州,4.6,新疆
阿克苏地区,4.2,新疆
阿勒泰地区,2.8,新疆
巴音郭楞蒙古自治州,5.0,新疆
博尔塔拉蒙古自治州,0.9,新疆
昌吉回族自治州,6.1,新疆
哈密地区,1.8,新疆
和田地区,3.2,新疆
喀什地区,5.1,新疆
克拉玛依,0.8,新疆
克孜勒苏柯尔克孜自治州,1.6,新疆
塔城地区,4.0,新疆
阿拉尔,0.3,新疆
图木舒克,0.2,新疆
五家渠,0.1,新疆
昆明,8.5,云南省
玉溪,5.1,云南省
楚雄彝族自治州,5.8,云南省
大理白族自治州,5.0,云南省
红河哈尼族彝族自治州,5.1,云南省
曲靖,5.5,云南省
西双版纳傣族自治州,2.1,云南省
昭通,4.8,云南省
保山,3.5,云南省
德宏傣族景颇族自治州,1.6,云南省
迪庆藏族自治州,1.6,云南省
丽江,2.7,云南省
临沧,3.7,云南省
怒江傈僳族自治州,1.2,云南省
普洱,5.8,云南省
文山壮族苗族自治州,4.2,云南省
杭州,13.6,浙江省
宁波,9.2,浙江省
嘉兴,5.3,浙江省
绍兴,5.5,浙江省
温州,8.5,浙江省
舟山,1.5,浙江省
湖州,3.8,浙江省
金华,6.4,浙江省
丽水,3.6,浙江省
台州,6.4,浙江省
衢州,2.7,浙江省
香港特别行政区,4.2,香港特别行政区
澳门特别行政区,0.6,澳门特别行政区
北京,21.8,北京
上海,20.0,上海
天津,12.9,天津
重庆,40.1,重庆
